District,Buraki Cukrowe - przeciętny zbiór (q z ha)
AUGUSTOWSKI,0.0
BIAŁOSTOCKI,0.0
BIELSKI (BIELSK PODLASKI),0.0
GRODZIEŃSKI,0.0
ŁOMŻYŃSKI,0.0
OSTROŁĘCKI,175.0
OSTROWSKI (OSTRÓW MAZOWIECKA),42.0
SOKÓLSKI,0.0
SUWALSKI,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0
WOŁKOWYSKI,0.0
WYSOKOMAZOWIECKI,0.0
BIAŁYSTOK (MIASTO),0.0
BĘDZIŃSKI,0.0
CZĘSTOCHOWSKI,33.15268242213504
IŁŻECKI,257.32928688585076
JĘDRZEJOWSKI,0.5634524737193106
KIELECKI,0.0
KONECKI,0.0
KOZIENICKI,981.0
MIECHOWSKI,1438.4365475262805
OLKUSKI,0.0
OPATOWSKI,1169.0
OPOCZYŃSKI,0.0
PIŃCZOWSKI,2272.999999923415
RADOMSKI,65.43394230617037
SANDOMIERSKI,941.0
STOPNICKI,216.00000007658505
WŁOSZCZOWSKI,0.0
ZAWIERCIAŃSKI,0.0
CZĘSTOCHOWA (MIASTO),0.8473175778649605
SOSNOWIEC,0.0
RADOM (MIASTO),1.2095627141354037
BIALSKI (BIAŁA KRAKOWSKA),0.0
BOCHEŃSKI,0.0
BRZESKI (BRZESKO),0.0
CHRZANOWSKI,0.0
DĄBROWSKI,46.0
GORLICKI,0.0
JASIELSKI,0.0
KRAKOWSKI,1631.0
KRAKÓW (MIASTO),0.0
LIMANOWSKI,0.0
MIELECKI,74.0
MYŚLENICKI,0.0
NOWOSĄDECKI,0.0
NOWOTARSKI,0.0
TARNOWSKI,98.0
WADOWICKI,0.0
ŻYWIECKI,0.0
DĘBICKI,132.0
BIALSKI (BIAŁA PODLASKA),68.79845425297025
BIŁGORAJSKI,0.0
CHEŁMSKI,591.0
GARWOLIŃSKI,418.0
HRUBIESZOWSKI,2943.2447607766
JANOWSKI,925.0
KRASNOSTAWSKI,1222.0
LUBARTOWSKI,305.0
LUBELSKI,4371.587168773943
ŁUKOWSKI,0.0
PUŁAWSKI,1241.0
RADZYŃSKI,224.0
SIEDLECKI,33.20154574668887
SOKOŁOWSKI,525.0
TOMASZOWSKI,1746.8516908781855
WĘGROWSKI,0.0
WŁODAWSKI,54.0
ZAMOJSKI,1181.9035483452146
LUBLIN (MIASTO),69.41283122605748
BÓBRECKI,533.0
BRZOZOWSKI,106.0
DOBROMILSKI,63.00000000000001
DROHOBYCKI,3.5121290850498603
GRÓDECKI,132.0000000327577
JAROSŁAWSKI,2313.0
JAWOROWSKI,30.93319873078703
KOLBUSZOWSKI,0.0
KROŚNIEŃSKI,20.12321482003811
LESKI,5.0
LWOWSKI,153.0
LWÓW (MIASTO),0.0
ŁAŃCUCKI,325.0
MOŚCISKI,215.0
NIŻAŃSKI,41.0
PRZEMYSKI,729.0
PRZEWORSKI,1221.0
RAWSKI (RAWA RUSKA),306.0
RUDECKI,156.0
RZESZOWSKI,204.8767851799619
SAMBORSKI,74.48787091495014
SANOCKI,76.0
SOKALSKI,481.1851018167183
TARNOBRZESKI,386.0
ŻÓŁKIEWSKI,5.999999999961731
LUBACZOWSKI,8.066801236455268
TURCZAŃSKI,0.0
BRZEZIŃSKI,23.0
ŁASKI,33.0
ŁĘCZYCKI,2728.0
ŁÓDZKI,0.0
ŁÓDŹ (MIASTO),0.0
PIOTRKOWSKI,81.0
RADOMSZCZAŃSKI,0.0
SIERADZKI,503.41702854574856
WIELUŃSKI,623.0
POŁUDNIOWO-WARSZAWSKI,0.0
PÓŁNOCNO-WARSZAWSKI,0.0
PRASKO-WARSZAWSKI,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0
BARANOWICKI,0.0
LIDZKI,0.0
NIEŚWIESKI,0.0
NOWOGRÓDZKI,0.0
SŁONIMSKI,0.0
STOŁPECKI,0.0
WOŁOŻYŃSKI,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.0
BRZESKI (BRZEŚĆ N.BUG.),59.99999985747598
DROHICKI,0.0
KOBRYŃSKI,1.4286491109768682e-07
KOSZYRSKI,0.0
ŁUNINIECKI,0.0
PIŃSKI,0.0
PRUŻAŃSKI,0.0
STOLIŃSKI,0.0
IWACEWICKI,0.0
BRODNICKI,546.8717600819054
CHEŁMIŃSKI,3736.273519456322
CHOJNICKI,75.85833234366267
GRUDZIĄDZ (MIASTO),0.0
GRUDZIĄDZKI,2337.0325026237097
KARTUSKI,4.890147379876776
KOŚCIERSKI,0.1099842266187026
LUBAWSKI,69.0
SĘPOLEŃSKI,154.0
STAROGARDZKI,1076.4085422365738
ŚWIECKI,897.1278829656094
TCZEWSKI,2293.302434707177
TORUŃ (MIASTO),72.4475284234858
TORUŃSKI,3527.2789521201917
TUCHOLSKI,151.30267614048157
WĄBRZESKI,1222.0957372943847
MORSKI,68.19241521606357
GDYNIA (MIASTO),1.8075847839364318
BYDGOSKI,1025.5566576983258
BYDGOSZCZ (MIASTO),0.4433423016742328
INOWROCŁAWSKI,9378.0
INOWROCŁAW (MIASTO),0.0
SZUBIŃSKI,1856.0
WYRZYSKI,1959.0
LIPNOWSKI,1729.9999999887525
NIESZAWSKI,6167.0
RYPIŃSKI,975.1830258536526
WŁOCŁAWSKI,4178.0
CHODZIESKI,75.0
CZARNKOWSKI,217.00000000000003
GNIEŹNIEŃSKI,3202.834117596597
GOSTYŃSKI,3511.504315916556
JAROCIŃSKI,3644.540900011819
KĘPIŃSKI,1461.0
KOŚCIAŃSKI,3362.7251902855114
KROTOSZYŃSKI,3462.888944464448
LESZCZYŃSKI,1742.4850640603331
MIĘDZYCHODZKI,415.0
MOGILEŃSKI,8415.000000026008
NOWOTOMYSKI,3543.0
OBORNICKI,1126.6001192816625
OSTROWSKI (OSTRÓW WIELKOPOLSKI),933.0142047775745
POZNAŃ (MIASTO),0.0
RAWICKI,3023.1587475531137
SZAMOTULSKI,2943.0
ŚREDZKI,3405.0000001336202
ŚREMSKI,1572.6826329306452
WĄGROWIECKI,1832.9395230694545
WOLSZTYŃSKI,637.0
WRZESIŃSKI,4349.92725257457
ŻNIŃSKI,2912.99999989283
POZNAŃSKI,2115.147743206108
GNIEZNO (MIASTO),0.5512442191504393
KALISKI,2890.234000365323
KOLSKI,1786.0
KONIŃSKI,1819.0
TURECKI,747.3489710889289
DOLIŃSKI,5.788491656887146
HORODEŃSKI,944.0
KAŁUSKI,7.742522463998347
KOŁOMYJSKI,518.0
KOSOWSKI (KOSÓW HUCULSKI),0.0
NADWÓRNIAŃSKI,0.17790568763912354
ROHATYŃSKI,440.0
STANISŁAWOWSKI,51.996348541267004
STRYJSKI,35.49852155416305
ŚNIATYŃSKI,129.0
TŁUMACKI,64.82891611633528
ŻYDACZOWSKI,152.7129867889498
BIELSKI (BIELSKO),35.0
BIELSKO (MIASTO),0.0
CIESZYŃSKI,0.0
TARNOGÓRSKI,25.0
KATOWICE (MIASTO),0.0
KATOWICKI,0.0
LUBLINIECKI,25.0
PSZCZYŃSKI,384.0
RYBNICKI,343.0
ŚWIĘTOCHŁOWICKI,0.0
CHORZÓW,0.0
BORSZCZOWSKI,397.5514720521744
BRODZKI,604.2936913550564
BRZEŻAŃSKI,256.3273394746503
BUCZACKI,169.0
CZORTKOWSKI,430.2748657121825
KAMIONECKI,206.18492762482356
PODHAJECKI,98.37892270703307
PRZEMYŚLAŃSKI,323.0
RADZIECHOWSKI,66.0
SKAŁACKI,238.09690984061922
TARNOPOLSKI,497.0162098920759
TREMBOWELSKI,210.68651382344652
ZALESZCZYCKI,217.964200553477
ZBARASKI,190.0
ZBOROWSKI,212.7063086449437
ZŁOCZOWSKI,562.6299705584964
KOPYCZYNIECKI,337.9578731351014
BŁOŃSKI,2217.0
CIECHANOWSKI,2859.0
GOSTYNIŃSKI,1280.0
GRÓJECKI,1000.0272080938435
KUTNOWSKI,4768.0
ŁOWICKI,1939.9999999994488
MAKOWSKI (MAKÓW MAZOWIECKI),0.0
MIŃSKI,168.0
MŁAWSKI,313.0
PŁOCKI,2784.0
PŁOŃSKI,1069.0
PRZASNYCKI,324.0
PUŁTUSKI,391.0
RADZYMIŃSKI,0.0
RAWSKI (RAWA MAZOWIECKA),122.0
SIERPECKI,500.816974157595
SKIERNIEWICKI,1.0000000005509821
SOCHACZEWSKI,1650.0
WARSZAWSKI,251.0
DZIAŁDOWSKI,11.0
DUBIEŃSKI,713.0
HOROCHOWSKI,56.0
KOWELSKI,0.0
KRZEMIENIECKI,1395.0
LUBOMELSKI,0.0
ŁUCKI,672.0
RÓWIEŃSKI,3196.0
WŁODZIMIERSKI,1044.0
KOSTOPOLSKI,0.0
ZDOŁBUNOWSKI,2323.0
SARNEŃSKI,0.0
BRASŁAWSKI,0.0
OSZMIAŃSKI,0.0
ŚWIĘCIAŃSKI,0.0
WILNO (MIASTO),0.0
DZIŚNIEŃSKI,0.0
WILEJSKI,0.0
WILEŃSKO-TROCKI,0.0
POSTAWSKI,0.0
MOŁODECZAŃSKI,0.0
